Frequency (Hz),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
1.0,30.009021408499393,29.760296125739725,29.625031471125464,29.582394702957245,29.620002831838107,29.770869615400795,29.997985027750197,30.285891552240297,30.636387558137756,31.005317579072408,31.40360786065819,31.794222486566937,32.18455377700118,32.553079991785495,32.903403759497856,33.22614043061979,33.52331898112305,33.7928179953855,34.03665359940122,34.25641692128393,34.45464725819245,34.63436670344473,34.79838939340264,34.94966180429903,35.09061942350676,35.22316546187582,35.348733467323314,35.46777448008241,35.58051653541837,35.68615016861084,35.78401225436275,35.87264808396415,35.95111500630544,36.0180202351162,36.072725673747776,36.11441040357632,36.14307160599465,36.15864211469403,36.161767856451576,36.152987478884796,36.13331993944347,36.103505765801565,36.06446238634714,36.01661021959781,35.96026654464143,35.89509384042025,35.82050820588731,35.735273865706965,35.63796067733747,35.526669295489086,35.399516303058356,35.25443554469325,35.08963380239452,34.90341722310014,34.694552720305126,34.46209319194182,34.205630668076346,33.92509320313219,33.62091651102048,33.29378762415127,32.944774049901625,32.575043565467475,32.185952617033536,31.778809728793,31.354935082188014,30.91553637961297,30.461822591462923,29.995026204520627,29.516697108724497,29.028914159312514,28.534875559692473,28.039401406386002,27.5498124027596,27.076643909166553,26.63440310322729,26.241652526138353,25.92015315945798,25.692367438244755,25.577546339109446,25.587174389957987,25.721855119396242,25.97099339033413,26.31566861222798,26.73295738568505,27.200110895824217,27.697129712170522,28.20797667497498,28.720474334710204,29.225848704174044,29.717898754261228,30.192427260438144,30.646604116758095,31.078697492014392,31.48768877021181,31.873253260037885,32.2355054186404,32.575101766751175,32.89301485350394,33.19064968910454,33.46959438857353,33.73171589881182,33.97885888518681,34.212933000900264,34.435564726702495,34.64821612365621,34.85183655724593,35.047059096992186,35.233900283154924,35.41205562614889,35.58065962298129,35.73867339453404,35.884671930361854,36.0172928898749,36.134987840560676,36.23650950915765,36.320581612864515,36.386416203487634,36.433272208513586,36.46101793089827,36.469554565212725,36.45944581421231,36.4311907263502,36.38592759428975,36.32456079097007,36.248528123398096,36.15882791032608,36.056807642756745,35.94321002866353,35.818901615355934,35.684114620838805,35.539006489709365,35.383243611907226,35.21635614372865,35.03756580737584,34.84622747914054,34.6412025847153,34.422506208007206,34.188342878948866,33.94066975203647,33.676015122067604,33.40011557220626,33.10598427372398,32.805444458747395,32.48599674105709,32.16718720462422,31.83153226869183,31.503288146154244,31.169693136121175,30.844365442012784,30.542783866463353,30.259115503786944
1.25,32.72928824364869,33.275673456469775,33.13746096501846,33.05250057918537,32.99975919563803,33.0196664533254,33.07721658273748,33.16832710127764,33.30701368581843,33.45326796188095,33.635095143268636,33.810065389925576,33.99978180430856,34.17298017569656,34.34156942805145,34.486713198759176,34.61373595985123,34.71333920516901,34.787942907614436,34.83458726796848,34.85528317894806,34.850968521355476,34.824413413050564,34.77867689956685,34.71734812311454,34.6441081605579,34.56260602772778,34.47574658919027,34.38614765834431,34.29490920056066,34.20290372574458,34.10926394750058,34.01334545037047,33.9131730875571,33.807699085030656,33.695281033026404,33.57586771951699,33.44947106365212,33.318035807359415,33.18382719304269,33.05084284549309,32.92304485012324,32.805258674839756,32.70131574364171,32.614617155662,32.54653969617034,32.49712231968771,32.46415673038851,32.44427768159297,32.43274558018935,32.424673369535554,32.41506478469892,32.39973161956069,32.37520930903477,32.339193168425375,32.29026579743254,32.22794542476444,32.15232404698679,32.06391735980831,31.963343199381093,31.851162669410552,31.727722985870635,31.59312128367974,31.44728326747196,31.29007441894737,31.121574775587824,30.94228156560166,30.753441062406072,30.557225809136312,30.356943721692346,30.157033376957315,29.962966030747914,29.780857569404994,29.616940149138976,29.47676834628733,29.36446047707216,29.281956036558793,29.228676260157766,29.201512547811493,29.19533996071801,29.203760744215415,29.22007112694309,29.238094087279762,29.25293705855882,29.261412574579214,29.262318711460797,29.256367523553326,29.246009141211818,29.23492910481716,29.227510491385942,29.228066608297986,29.240227706550375,29.266352056245385,29.30733944824692,29.362700531710413,29.431034559814734,29.51069145858639,29.600499339007573,29.700448808681465,29.812009700496674,29.938305797177364,30.083610658975356,30.25286749061636,30.450427128688318,30.679357974140746,30.940169624155583,31.230862182245932,31.546472961392702,31.880258856433876,32.223905574869036,32.569158544122516,32.90785950718583,33.233313633727555,33.53974681213322,33.82333516529688,34.081211455079405,34.312389456963324,34.51649632966109,34.69478159642992,34.84863628326649,34.980755994593096,35.093446481651974,35.18994147423041,35.27253511545277,35.34402916028959,35.40584611388813,35.45954865033109,35.50520542669356,35.54281075590045,35.571199879856096,35.58909498440841,35.59471501344723,35.58626296591859,35.56201538194708,35.520590212148136,35.46055461192352,35.381952213184775,35.28309875997491,35.16668710992345,35.0293602384242,34.87808672286803,34.70578199275185,34.525501827580925,34.32483840750433,34.123386181098375,33.90536536849861,33.691605196983105,33.474717190099234,33.259362980790364,33.06823284837981,32.88816359471547
1.6,28.053592956441406,29.944289045541346,29.717202029745955,29.556069680525155,29.443108669354658,29.423737647198823,29.45736455692684,29.540878748149524,29.67793189886178,29.827276838716237,30.00831774360964,30.17754141382252,30.3518124708391,30.499939647158506,30.63209004959909,30.73013910101953,30.799038547482045,30.8300404333863,30.825293868165218,30.781660287233677,30.700262115954416,30.58082882587285,30.424324289304376,30.231521632794628,30.003323483436457,29.74026836340224,29.442778343780034,29.110200409563184,28.741846815842838,28.335221433804058,27.887996220704856,27.39560781729017,26.853976123997597,26.256840438795763,25.59903634075901,24.87412841345006,24.078638280760455,23.211277549562833,22.280359706856462,21.308553411381826,20.348491180546148,19.49433104832568,18.884834585453753,18.65807098871911,18.868663176942594,19.44495524488342,20.24474341603883,21.137096825367934,22.035502132361508,22.89437578890967,23.692968037434966,24.424753723290465,25.089263421236694,25.689192618456257,26.22779118839313,26.708598765506327,27.13463807557604,27.508770908225095,27.833423864868955,28.111034705293612,28.343929410606513,28.534685919954565,28.686072003377422,28.801268426072518,28.88381844164727,28.937697292629142,28.967206230170085,28.976896949730527,28.97137417260593,28.955085900190333,28.932058694577396,28.90563220516029,28.878242601219235,28.851243590003474,28.82486805412928,28.79825331542653,28.769621477569395,28.736479025817417,28.69592263596031,28.644885746387516,28.580434113873384,28.4999561275185,28.401366968406727,28.283207347831656,28.14474630097832,27.985987448325268,27.807665330761,27.611152493293623,27.398338494613558,27.171434030753158,26.93272369287868,26.684333650919456,26.42792877358785,26.164616850431194,25.894776968073185,25.618326934808607,25.334828525439512,25.044259845066044,24.747391084159368,24.446982786478983,24.14817581793882,23.859729325256428,23.593707861356922,23.36572374645554,23.192590173172857,23.090341880206505,23.069901889659185,23.134835491761507,23.27935197050046,23.490061881854043,23.748521531047146,24.03502878228759,24.331489142130266,24.622975520951194,24.89886072955855,25.152075367954833,25.37968974253941,25.58107275338081,25.758907619221546,25.91664938925474,26.060218091360795,26.19466062762523,26.326537398855333,26.459839847708906,26.599156794531442,26.745357462719348,26.899475356063668,27.05895852065781,27.221591972025003,27.382990973744402,27.539334423101685,27.686513960319978,27.82078692745867,27.939483415726293,28.040122789151987,28.121126033470958,28.182420699911475,28.221758544407074,28.243380685152836,28.241535668425776,28.22781777869217,28.189780210448404,28.14969718260039,28.086811129810833,28.034325277632796,27.967832722003358,27.92123869400354,27.885395698431843,27.86626992787231,27.900173236936595,27.955769859967212
2.0,40.15527895254568,41.457429618171844,40.8664294613602,40.326347946917195,39.84108535738794,39.49757695310813,39.27099151950852,39.180643459602564,39.229780326837094,39.36068202658828,39.57702704372291,39.80947592364294,40.059055161971166,40.280721686815255,40.47507851568355,40.621178056107496,40.71941309444846,40.76297935325593,40.75212725183131,40.68622065953018,40.56533321822044,40.390109676582014,40.15988749567764,39.87363793731535,39.528826652590865,39.12072558353452,38.64332941188014,38.08635997011055,37.43799359010259,36.67947141886045,35.78840814925596,34.7303493008163,33.459857763493794,31.905476253185235,29.961500459085826,27.462466641976203,24.24700388416266,21.073926076033164,21.80342054522584,25.298598960908663,28.371987308616905,30.757846635354312,32.641584649585425,34.17075162936102,35.439418609141995,36.50945995467359,37.42200979862773,38.20614922531092,38.88240218253346,39.46608113632632,39.96836825462422,40.39782567643685,40.76079213907058,41.0621013335288,41.30529391949307,41.49292924124788,41.62672372189793,41.707664503583935,41.736094192168096,41.711717421679666,41.63364909114954,41.500343965270766,41.30962046012244,41.058532878925476,40.74333256966063,40.35928249615629,39.9005079956032,39.35967539884799,38.72765283325068,37.99284031114106,37.140434473060736,36.15107661043792,34.99924226983393,33.65094372729837,32.06218465336691,30.18363718180726,27.998985751654,25.708701095966084,24.234472664764265,24.824567037348363,26.81580197467963,28.95692490282148,30.839725185549447,32.43662693499191,33.79547638987229,34.96542030531864,35.98476817668107,36.8813235583393,37.67481446483466,38.37899979843168,39.00338221559983,39.55443534458475,40.03655156078029,40.452700955719855,40.80495350545878,41.09482814494885,41.323558602655844,41.492287697472804,41.6021588929073,41.654448414884975,41.65053158070546,41.59199156881876,41.480460606538415,41.31771322790557,41.10534764965493,40.84486670325706,40.53714083737265,40.18248549238564,39.77987730674276,39.32707700999103,38.819580759648396,38.250864566985214,37.6109700038179,36.88687865381774,36.06039232102216,35.10836001281935,33.99914665532614,32.69260199824724,31.136347351728414,29.277096276221553,27.113417735646568,24.955605527864098,23.962088347670587,25.113349514161904,27.302816684845972,29.443045448427494,31.271434300448536,32.794355623016955,34.06681194270697,35.136824008686446,36.04306865304695,36.81404971131583,37.47113714163268,38.03083541813041,38.50528433743285,38.90384327835312,39.234757573270734,39.501972231681755,39.7142858392733,39.87013947467695,39.983416051067664,40.046024975427635,40.08113453622091,40.07374887063016,40.05754891301396,40.01479026890373,39.981364147523955,39.952476374071274,39.94030986899134,39.97863574562578,40.044621562829434
2.5,37.11057523339148,39.48095878964534,38.86295579772114,38.25584489164313,37.6508864697177,37.12618874450514,36.65952402705489,36.286092604974066,36.025878728105255,35.845698161393635,35.763601506742305,35.71412944003584,35.698013422223994,35.6592051058864,35.590703815009185,35.46004279105962,35.25960669305954,34.97541256556638,34.60179721157896,34.13575252564031,33.575571527428075,32.92561115278715,32.191695777801115,31.38709760145729,30.532078657034138,29.656335587968513,28.805418043077232,28.03527952257329,27.41823841412874,27.019541873393415,26.888293533657265,27.028972148672988,27.406212017335754,27.956223893090968,28.609027663655453,29.304481543218103,29.994938378607362,30.64840711482288,31.24229641613166,31.764160143469418,32.20625569879037,32.56669849922823,32.8459756071251,33.04822288258704,33.17907560140855,33.24667033144665,33.2601639918774,33.23018160303885,33.16753904472312,33.08300940295798,32.98620620251827,32.885047438938734,32.78532815888097,32.69063078715463,32.602984422618384,32.52335186307153,32.452789427448465,32.39268854525243,32.34536581195308,32.31337538996758,32.2991784063802,32.30391382046162,32.326970133525414,32.36543906769042,32.414651386410014,32.46886811461657,32.52258656177554,32.57163499046123,32.61415078661392,32.65101718280946,32.685732802537395,32.7236588503539,32.77062031171146,32.83121343511838,32.90705621996264,32.99567060174632,33.090173510615635,33.1800571945608,33.25256398196494,33.294449091022095,33.293533816273396,33.24010888790821,33.12802159035785,32.95582202452116,32.72796261756625,32.45629016760748,32.161411418899455,31.873217193400937,31.628962007741954,31.467253648839325,31.418177524080694,31.49312865857732,31.680785537332135,31.95167327885943,32.26866110657642,32.59650695190659,32.907839614785736,33.184589628832796,33.41758386014788,33.60471793872857,33.7494745987596,33.85908398829719,33.943079566373335,34.01151267149815,34.07329994830842,34.134679384060995,34.19794900517822,34.26126088062413,34.318607058496376,34.36127618401989,34.378472376421755,34.35929343297327,34.292690909393826,34.169106487899185,33.97936064625121,33.71608240629668,33.37175982835654,32.9404581476691,32.41531495563748,31.791189017956505,31.06225486988344,30.227190103188338,29.290132425855035,28.274579271013714,27.23974561420298,26.31266305307895,25.699727293477714,25.61035639110857,26.096671211754927,26.996508458546717,28.08473795005675,29.19636787737319,30.244174627820083,31.194043762901565,32.03342965003819,32.76588040965309,33.395664955030114,33.93142362161048,34.38312079374608,34.75592049825995,35.06690792895328,35.31407202280659,35.52503882361728,35.688872222758775,35.84363973399083,35.97302884707625,36.114321162870205,36.26205051184936,36.4241120386111,36.63182425777927,36.85619937237324
3.15,29.680189877413376,37.08941745068528,36.360802458628456,35.578380405424795,34.69334405494415,33.78309236946305,32.792898740949646,31.76957602893934,30.766214430307596,29.808670807774607,29.04411805174086,28.462733010088968,28.161007240455614,28.02140845648582,28.01056830437099,28.00011621592352,27.941525274125397,27.77309207921291,27.46937491040712,27.009321403139865,26.38096296245989,25.58013411011845,24.608555223146126,23.48447446429354,22.253874667137747,21.013532185950467,19.92939502900685,19.206773541281667,18.970588276015427,19.177910190937084,19.658560361191885,20.26867005847491,20.915503666803733,21.571939550737355,22.223109549017682,22.86827960400974,23.49483814099639,24.090780506419357,24.63776924013611,25.122116696131794,25.53245934732184,25.864902945137498,26.12149693953747,26.312155498110236,26.454016249450664,26.571437997841933,26.694242591061183,26.853830424943542,27.07763826306547,27.382460078172002,27.77081124314051,28.231086077800022,28.74250441466549,29.280889936807995,29.823822842455343,30.35294623476757,30.85475305309555,31.319793157054768,31.741824380760274,32.116700829378,32.441720321760464,32.71503628956741,32.93552467668404,33.10262365193819,33.2165691027091,33.278435963918284,33.29050690805381,33.256337586665204,33.18101437514775,33.07097703801373,32.93384500592177,32.777641255942314,32.609899601363075,32.43625111983925,32.259178542858585,32.076847706910804,31.882689770761697,31.66550934477367,31.410308729458976,31.099233946056806,30.712600294702064,30.229544615238755,29.628596749322213,28.88834477015857,27.989415509135547,26.920270424176735,25.693260481270027,24.384024956348803,23.20411478288328,22.53443696348895,22.688039367103656,23.54088268848713,24.68946915008563,25.827830481081282,26.81902974239474,27.621272253527863,28.23153385061833,28.659618416469336,28.91875814408928,29.022069235557836,28.98232305621299,28.811883402157626,28.52413814397724,28.13412490051368,27.660718499695154,27.127435246457885,26.56453707276797,26.00798981251231,25.497822765823067,25.07077563211832,24.752493441799935,24.549062797142675,24.44581908228134,24.412227788717114,24.410244073174027,24.402675205459193,24.356068427447134,24.243958141326047,24.04392701714613,23.74017373036444,23.319583948865898,22.777677675164185,22.117686282987314,21.36494614831819,20.576772168366908,19.86662467952306,19.40053497325131,19.338777826844744,19.72684139349862,20.4567046143725,21.360721887260482,22.30338476378854,23.205090349254114,24.03300045993038,24.772284628492514,25.426199612527224,25.995783297628563,26.487781281612705,26.908473264694734,27.257859842911873,27.551446701434223,27.778962337993583,27.97215043630881,28.110509905781427,28.24397568947156,28.34809964409526,28.477623604305865,28.62148655986484,28.803828850336387,29.05052568125299,29.336155495963254
4.0,45.619531439359605,45.202813357741164,44.0134784291692,42.67376338199482,41.203718071192725,39.63753195607842,37.97990181536984,36.39702852736511,34.967815369506965,33.81462789390723,32.937521723530025,32.169151503797735,31.44313124724397,30.586872239241316,29.69867544259389,28.81877289592761,28.240680962792425,28.086913281009423,28.37998980444024,28.896395382434513,29.47181715102783,30.0083912384326,30.512055597282945,31.016839010178735,31.559494522944092,32.14409938202677,32.736249566819836,33.28544489821713,33.73539945901555,34.04818907159413,34.196075869285096,34.17284595998697,33.98247791068419,33.650591239384774,33.218181687576546,32.75277687779872,32.33676773020696,32.05946425584676,31.984545097336262,32.13761425451083,32.50341916500722,33.04895070669273,33.73243085771803,34.509735220502385,35.3305163184637,36.14360023374851,36.900288304227956,37.560787535225586,38.09435167057841,38.48000108265079,38.70364535862818,38.757410679811656,38.63762025716139,38.34520275560574,37.88552787426472,37.270438138058346,36.51979319663042,35.664029823160554,34.74389158674535,33.80615165695317,32.89234957705209,32.02527465714152,31.203712161620434,30.41637895966663,29.675912325716403,29.061677939909842,28.737954080036936,28.881216140265025,29.52306497889939,30.503750164236784,31.606679447607647,32.67740375910138,33.63899960627918,34.46543632485602,35.15679163513628,35.72530184597446,36.188306318907564,36.56540554858606,36.877163084196965,37.14482456848053,37.38954652128644,37.63120000076369,37.88582439751455,38.16288583543104,38.462765800339355,38.77641832834645,39.08696126612584,39.373213842886116,39.61320201495792,39.78726971435136,39.87973158539911,39.87993069469948,39.78242015119897,39.58730559175233,39.30027578295851,38.9330488311106,38.50328694086801,38.03446449393058,37.554286524168624,37.09240427891093,36.67638072125209,36.32814134318626,36.06040195791519,35.875659891101236,35.76544657399104,35.711723839719404,35.68770256612752,35.66074423448496,35.59468882118463,35.45350592096098,35.20349998582263,34.81614869853025,34.2704459862165,33.558552865321296,32.69581811494362,31.74154810221935,30.82401974212852,30.144517183817428,29.88678282763216,30.074344378550887,30.54464506096599,31.102638919111662,31.613255232084846,32.026341466841465,32.332333389624864,32.55444065041827,32.71095106008464,32.81940964557049,32.87295226017215,32.85208445516751,32.72526945308692,32.456029764267115,32.03172907490962,31.451833359428502,30.818986663609284,30.301412979352836,30.25158305920735,30.816635857432072,31.97036939965691,33.32828156032128,34.76290414013248,36.065847373752604,37.320243121572744,38.430483635559405,39.516035211627795,40.50866929717743,41.47938021070451,42.403436403600246,43.26369379713398,44.11221349615133,44.87784330677597
5.0,49.496659838357324,49.76599318254492,48.80498439922015,47.71469041389636,46.49922283355025,45.150783269961096,43.6491010319142,42.01173120050123,40.237177770037604,38.40374856256877,36.61030897615348,35.063718072946585,33.964084511132775,33.373882056188954,33.20743060926895,33.25863080633692,33.433150542864816,33.644673305086044,33.897031694445296,34.16244468661665,34.43789449959886,34.69276912051028,34.90760623578004,35.05922348478024,35.13427040977198,35.12708214356764,35.03691516845582,34.87230145977446,34.641746463363084,34.36170336319127,34.045418512350764,33.712280065061975,33.37715073327677,33.059399529068344,32.773378548729106,32.535159252106816,32.35395663294978,32.23662697566922,32.18239240213692,32.18858402849451,32.25025240414306,32.36636775589622,32.53904771207544,32.77485894872467,33.07909907618957,33.452758966839646,33.88707837367634,34.36489468950914,34.86212093489598,35.35392363161958,35.817509381546884,36.23587565895909,36.597545964502736,36.89719036515999,37.133887405809595,37.31056906285432,37.43211899334169,37.50446682717273,37.53287161780342,37.521109376005924,37.47046300178433,37.37966831404862,37.245123574926296,37.061818278551314,36.824491730383365,36.529073555544116,36.174202461967816,35.76277471789679,35.30352203082499,34.8121664076848,34.31186810109186,33.831625272935206,33.402200330429025,33.049513728792306,32.78832885175109,32.619807521479146,32.535107165125474,32.523204214562405,32.578484767278034,32.70432786210163,32.9107597811986,33.20725587444282,33.593889752990286,34.05596393001283,34.56498653771807,35.084801902442166,35.57885125341408,36.015122061504805,36.368234550721226,36.619166419476834,36.75421423362921,36.76349595857009,36.64007912364016,36.379235511419665,35.97897610739422,35.44133969417733,34.77651854215629,34.01011446056812,33.19649242641975,32.43446809809976,31.870842298426197,31.65688960318528,31.856503251753505,32.39651686242715,33.12610467997458,33.90721947249808,34.65066803826153,35.311336622498956,35.870960784037166,36.326863179833275,36.683553126804675,36.94998118015214,37.136379545179096,37.25411324385492,37.31370694670648,37.32509537071795,37.295879896850664,37.231745078657646,37.13522689961126,37.00651296655561,36.84296312183458,36.639963453992486,36.390864108614295,36.087162005652544,35.718551182699784,35.27230372416943,34.73378327611027,34.08623773813399,33.31332688035895,32.404637540913875,31.368678685271444,30.269022308688662,29.277676471303383,28.727446488266306,28.943200175795106,29.91017048000382,31.31862865893281,32.84535873558749,34.38742208228922,35.852995606529994,37.30265806446139,38.678444686261905,40.05188321857082,41.353372315926514,42.630983694839024,43.8296530910615,44.96570984329181,46.02944251552502,46.99707873691645,47.91227094111903,48.73424346058862
6.3,49.269148732213914,49.72757481318191,48.818796007645474,47.795846276178494,46.64949952598586,45.37123302353649,43.946789738803616,42.35624144853547,40.61169657018523,38.71227741531303,36.75381066727449,34.86836514415034,33.382724401384415,32.52735943733941,32.38493020352982,32.67285402921672,33.19452106270052,33.780871960442674,34.40927165116945,35.04138692201455,35.675332281763986,36.28350878986387,36.85011330367323,37.354963436951756,37.78627969130247,38.138352305377275,38.40924110174546,38.60415366471778,38.72808736411692,38.79170718151831,38.80323266937345,38.77480253882778,38.715187436214485,38.635799192529234,38.54484246418983,38.45269794162696,38.36741755426609,38.299029145220224,38.255600922222214,38.24589997977813,38.2754372904173,38.34786496947544,38.461770926506574,38.612442912208074,38.79063228966657,38.98536827510482,39.18405981519017,39.37516579306181,39.548108046216825,39.69489910978091,39.809413942765005,39.88813150379043,39.92908166602561,39.932110422099385,39.89779339992845,39.827512889877795,39.72253704676979,39.58416996484708,39.41323498125543,39.21054615136407,38.97699143211603,38.714446461359216,38.42640309537563,38.11915911097263,37.80252470685866,37.49054967038983,37.20108634985938,36.954388804174044,36.76995024959981,36.662541472980344,36.63844056399516,36.69382836007602,36.81594276513281,36.98658686488518,37.186152495740686,37.396914848076065,37.60484802574603,37.800243798897036,37.977464413578964,38.13435512416339,38.27147680512013,38.391366913483125,38.49779553880233,38.59506206440033,38.68734359068459,38.77810851945443,38.869716934975514,38.96318010964923,39.05822015054713,39.15347184512421,39.24690987784022,39.3362225112123,39.419231629774515,39.49406187681268,39.5592818261761,39.61375196477449,39.656530563845436,39.686553033449925,39.70254881284322,39.70279040741331,39.68524385486241,39.64749293724061,39.58717964843932,39.50203837204172,39.3905627134871,39.25205466553599,39.0874883112149,38.89955649409771,38.69373140681087,38.47825291227459,38.265060545845685,38.06915696049431,37.90820481916031,37.80006382822578,37.7598067248277,37.796149695025214,37.90835622698028,38.086522989920304,38.31215853346373,38.56345853376751,38.81646545650056,39.05056401470747,39.24657315971022,39.39076469912199,39.47080867528214,39.479142759626185,39.40861615608966,39.255374053086655,39.01510996453305,38.685084828342326,38.26065815827364,37.737319477379685,37.10490006971776,36.35616947875681,35.47355000600084,34.47030512784019,33.381645728017666,32.42571215437054,32.023781364692965,32.65364290549051,34.248582632124595,36.21317082816752,38.234725510111474,40.066500101923836,41.74904696637828,43.22186989547057,44.543515866376914,45.715897420414564,46.7453540690532,47.691777645374145,48.51283752409983
8.0,45.760220549675516,48.31773082737544,47.55629654424871,46.72156097598528,45.808369460573665,44.80765172382485,43.729061953539585,42.542290996987056,41.2811154272468,39.91372273783742,38.49053141683823,37.000309908679355,35.51912468277441,34.08380754488717,32.80812808696386,31.77077905498974,31.058008956261915,30.673755377690043,30.57617438725471,30.681271847307375,30.915142586515245,31.21852647380328,31.557991200820815,31.915565339429275,32.28717867746021,32.675955200976546,33.087696807283464,33.52794110104953,33.9970586036968,34.49108848316976,34.999859366238574,35.51088526951706,36.009722467344034,36.4834580533054,36.920703760513625,37.313112549986705,37.654628725244244,37.941853656002976,38.17316082083771,38.34877540255435,38.470060694542376,38.539603407790295,38.56071243361001,38.53754980645249,38.47479434772292,38.377840177909654,38.25261328050501,38.10586636867455,37.94513666919967,37.77903058034362,37.617107136872974,37.469759771380026,37.3475077151263,37.260018890504554,37.214682294061795,37.21531316171621,37.26128858207136,37.347575306185654,37.465687864452505,37.60524369146093,37.755687055759005,37.9076598334266,38.053864485393646,38.18926413722763,38.31083783012848,38.41688930763648,38.506240022482906,38.57733589241708,38.62755961667908,38.65278486321603,38.647298145013984,38.60403801036854,38.5151017138446,38.37240996490111,38.16846891675657,37.897239981104065,37.55515716275362,37.14249788900833,36.66523785458379,36.13756619224265,35.58477098355952,35.04537657613005,34.569838950202474,34.21228220413103,34.01439405502541,33.98857679488093,34.112432653545014,34.33940456301545,34.61673487357995,34.89933247421015,35.1553825253258,35.366195929268024,35.523619001573785,35.62726872374352,35.68214825838347,35.69689100552255,35.68218362633053,35.64950159972043,35.609673676188336,35.571835323195124,35.54232755302508,35.524466931486124,35.518449767752614,35.522327899653085,35.532752426030626,35.54644665154387,35.560812050023806,35.574935998756274,35.58937575022446,35.60632168206536,35.628494563196256,35.65868758316196,35.69829556613583,35.74704930890134,35.80211017385864,35.85881852547027,35.91070845614363,35.95106076017364,35.97308711881136,35.971389440267934,35.94145356878471,35.880538166195144,35.78625061628463,35.65703978895017,35.49017284900715,35.282407835904074,35.028007530235186,34.72021551206381,34.34985249014921,33.90780471422415,33.384474563115745,32.77351239862727,32.07351233719986,31.295856812013835,30.47602549453382,29.694489215500454,29.10595376818201,28.922272980017496,29.332485260320556,30.317392398893702,31.712530853879276,33.28655400610427,34.909602028579904,36.48732661060976,37.98901815132689,39.395419503626826,40.69552098486996,41.90060253266274,42.995889709306084,44.00606550391452,44.92686192529666
